datetime,SO2,hour,dayofweek,hour_sin,hour_cos,dow_sin,dow_cos,SO2_lag_1,SO2_lag_6,SO2_lag_12,SO2_lag_24
2021-07-13 06:00:00,0.71975,6.0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.78518,0.52346,1.04691,0.69794
2021-07-13 06:15:00,0.78518,6.0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.71975,0.32716,1.04691,0.78518
2021-07-13 06:30:00,1.04691,6.0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.78518,0.52346,0.91605,0.52346
2021-07-13 06:45:00,1.04691,6.0,1.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.52346,0.6107
2021-07-13 07:00:00,0.98148,7.0,1.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.0,0.52346
2021-07-13 07:00:00,1.04691,7.0,1.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.98148,0.78518,0.26173,0.0
2021-07-13 07:15:00,0.78518,7.0,1.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.04691,0.71975,0.52346,0.52346
2021-07-13 07:30:00,0.78518,7.0,1.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.78518,0.78518,0.32716,0.52346
2021-07-13 07:45:00,1.04691,7.0,1.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.78518,1.04691,0.52346,0.39259
2021-07-13 08:00:00,0.85062,8.0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1.04691,1.04691,0.78518,0.52346
2021-07-13 08:00:00,0.78518,8.0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.85062,0.98148,0.78518,0.78518
2021-07-13 08:15:00,1.04691,8.0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.78518,1.04691,0.78518,0.78518
2021-07-13 08:30:00,0.52346,8.0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.71975,1.04691
2021-07-13 08:45:00,0.26173,8.0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.52346,0.78518,0.78518,1.04691
2021-07-13 09:00:00,0.58889,9.0,1.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.26173,1.04691,1.04691,0.91605
2021-07-13 09:00:00,0.52346,9.0,1.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.58889,0.85062,1.04691,0.52346
2021-07-13 09:15:00,0.78518,9.0,1.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.52346,0.78518,0.98148,0.0
2021-07-13 09:30:00,0.78518,9.0,1.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.78518,1.04691,1.04691,0.26173
